# ATmega1281 bei 16 MHz, Autobaud HW UART Mode 32, 2 Stop Bits, USB2serial bei 115200 Baud, 1 Stop Bit
# mit Zähler-Vorteiler reset, 1x LED blinken
# Fehler bei 40 Downloads mit je 10kByte
# Freq    m1281   m1281      m1281  m1281  m1281  m1281  m1281  m1281
#         FT232RL FT232clone CH340G CP2102 CP2104 PL2303 Pololu ArduinoUNO

14000000  0       0          0      0      0      40     0      0
14100000  0       0          0      0      0      0      0      0
14200000  0       0          0      0      0      0      0      0
14300000  20      14         40     0      26     0      27     0
14400000  40      38         40     40     2      0      40     0
14500000  0       18         15     0      0      0      0      0
14600000  0       0          1      0      0      0      0      27
14700000  0       0          0      0      0      0      0      0
14800000  0       0          20     0      0      0      0      1
14900000  0       0          0      0      0      0      0      0
15000000  0       0          0      0      0      0      0      0
15100000  0       0          0      0      0      0      0      0
15200000  3       0          40     18     0      0      1      0
15300000  40      28         40     0      27     0      40     0
15400000  0       21         0      0      0      0      0      0
15500000  0       0          0      0      0      0      0      0
15600000  0       0          0      0      0      0      0      40
15700000  0       0          0      0      0      0      0      0
15800000  0       0          0      0      0      0      0      0
15900000  0       0          0      0      0      0      0      0
16000000  0       0          0      0      0      0      0      0
16100000  14      4          16     40     12     0      19     0
16200000  40      37         40     0      18     0      40     0
16300000  0       23         0      0      0      0      0      0
16400000  0       0          0      0      0      0      0      12
16500000  0       0          0      0      0      0      0      40
16600000  0       0          0      0      0      0      0      0
16700000  0       0          0      0      0      0      0      0
16800000  0       0          0      0      0      0      0      0
16900000  0       0          0      0      0      0      0      0
17000000  0       0          0      25     0      0      0      0
17100000  35      15         40     0      18     0      37     0
17200000  0       39         0      0      0      0      0      0
17300000  0       0          0      0      0      0      0      0
17400000  0       0          0      0      0      0      0      20
17500000  0       0          0      0      0      0      0      0
17600000  0       0          0      0      0      0      0      0
17700000  0       0          0      0      0      0      0      0
17800000  0       0          0      0      0      0      0      0
17900000  0       0          0      4      0      0      0      0
18000000  11      2          11     0      1      40     19     0
# Total   203     239        303    127    104    80     223    140

