# ATmega1281 bei 16 MHz, Autobaud HW UART Mode 32, USB2seriell mit 115200 Baud, 2 Stop Bits
# mit Zähler-Vorteiler reset, 1x LED blinken
# Fehler bei 40 Downloads mit je 10kByte
# Freq    m1281   m1281      m1281  m1281  m1281  m1281    m1281  m1281
#         FT232RL FT232clone CH340G CP2102 CP2104 PL2303TA Pololu ArduinoUNO
#         -2/4    -2/4       -2/4   -2/4   -2/4   -2/4     -2/4   -2/4
14000000  0       0          0      0      0      0        0      0
14100000  0       0          0      0      0      0        0      0
14200000  0       0          0      0      0      0        0      0
14300000  0       0          27     0      0      0        25     0
14400000  0       0          0      0      0      0        40     0
14500000  0       0          0      0      0      0        0      0
14600000  0       0          0      0      0      0        0      0
14700000  0       0          0      0      0      0        0      0
14800000  0       0          0      0      0      0        0      0
14900000  0       0          0      0      0      0        0      0
15000000  0       0          0      0      0      0        0      0
15100000  0       0          0      0      0      0        0      0
15200000  0       0          40     0      0      0        3      0
15300000  0       0          0      0      0      0        40     0
15400000  0       0          0      0      0      0        0      0
15500000  0       0          0      0      0      0        0      0
15600000  0       0          0      0      0      0        0      0
15700000  0       0          0      0      0      0        0      0
15800000  0       0          0      0      0      0        0      0
15900000  0       0          0      0      0      0        0      0
16000000  0       0          0      0      0      0        0      0
16100000  0       0          0      0      0      0        13     0
16200000  0       0          0      0      0      0        40     0
16300000  0       0          0      0      0      0        0      0
16400000  0       0          0      0      0      0        0      0
16500000  0       0          0      0      0      0        0      0
16600000  0       0          0      0      0      0        0      0
16700000  0       0          0      0      0      0        0      0
16800000  0       0          0      0      0      0        0      0
16900000  0       0          0      0      0      0        0      0
17000000  0       0          0      0      0      0        0      0
17100000  0       0          5      0      0      0        37     0
17200000  0       0          0      0      0      0        0      0
17300000  0       0          0      0      0      0        0      0
17400000  0       0          0      0      0      0        0      0
17500000  0       0          0      0      0      0        0      0
17600000  0       0          0      0      0      0        0      0
17700000  0       0          0      0      0      0        0      0
17800000  0       0          0      0      0      0        0      0
17900000  0       0          0      0      0      0        0      0
18000000  0       0          0      0      0      0        19     0
# total   0       0          72     0      0      0       217    0
#                           CH340G 
#                           -1/4  
# total                     96   
#
# Freq   m1281
#        CH340G
#        ohne R
#         -3/4
# Summe  109
#14000000 6 
#14100000 11
#14200000 0 
#14300000 14
#14400000 4 
#14800000 1 
#14900000 2 
#15000000 10
#15200000 10
#15300000 2 
#15400000 1 
#15900000 11
#16200000 4 
#16300000 1 
#16800000 5 
#17100000 6 
#17600000 1 
