# The optiboot is configured for 16 MHz operation and a Baud rate of 115200.
# The real Baud rate at 16 MHz is 117647, correct Baud 115200 at 15.6672 MHz Clock (UBBR=16)!
# Hardware UART of optiboot use 2 Stop Bits for Tx data.
# Test for different USB-Serial Adapters with 115200 Baud, 1 Stop Bit (normal for avrdude)
# Freq    m1281   m1281      m1281  m1281  m1281  m1281  m1281     m1281
# serial  FT232R  FT232clone CH340G CP2102 CP2104 PL2303 PololoAVR ArduinoUNO
# Freq
14600000  40      40         40     40     40     40     40        40
14700000  40      40         40     40     40     40     40        40
14800000  40      40         40     40     40     40     40        40
14900000  40      40         40     40     40     40     40        40
15000000  40      40         40     40     40     40     40        40
15100000  40      40         40     40     40     0      40        40
15200000  40      40         40     40     40     0      40        40
15300000  40      40         40     0      3      0      40        40
15400000  0       22         0      0      0      0      0         40
15500000  0       0          0      0      0      0      0         40
15600000  0       0          0      0      0      0      0         40
15700000  0       0          0      0      0      0      0         0
15800000  0       0          0      0      0      0      0         0
15900000  0       0          0      0      0      0      0         0
16000000  0       0          0      0      0      0      0         0
16100000  0       0          0      0      0      0      0         0
16200000  0       0          40     0      0      0      0         0
16300000  0       0          40     0      0      0      0         0
16400000  0       0          40     0      0      0      0         0
16500000  0       0          40     40     0      0      0         0
16600000  40      39         40     40     0      0      40        0
16700000  40      40         40     40     40     40     40        40
16800000  40      40         40     40     40     40     40        40
16900000  40      40         40     40     40     40     40        40
17000000  40      40         40     40     40     40     40        40
17100000  40      40         40     40     40     40     40        40
# ErrFree 7.9%    7.2%       5.0%   7.5%   8.6%   10%    7.5%      6.2%
#                                                 ???
